,Location,Period,Gender,Life_Expectancy,Healthy_Life_Expectancy,%Mrt30_70_crdo_cncr_dbts_rsprtry,Suicide100000,Ttl_alc_percapita_15+,Posioning100000,Smoking15+
0,Albania,2015,Both sexes,77.84,69.03,17.4,6.0,6.74,0.43,29.9
3,Albania,2010,Both sexes,76.25,67.57,18.6,7.8,7.69,0.51,31.1
6,Albania,2000,Both sexes,73.55,65.24,19.4,5.5,6.57,1.02,34.2
9,Algeria,2015,Both sexes,76.54,65.99,14.4,3.2,0.93,0.8,19.3
12,Algeria,2010,Both sexes,75.85,65.53,15.4,3.3,0.65,0.87,20.0
15,Algeria,2000,Both sexes,72.21,62.71,21.1,4.1,0.58,1.25,22.4
18,Argentina,2015,Both sexes,76.17,66.86,16.1,8.8,9.55,0.65,24.6
21,Argentina,2010,Both sexes,75.44,66.3,17.8,8.7,9.09,0.71,30.1
24,Argentina,2000,Both sexes,74.09,65.14,20.6,9.5,8.75,0.85,46.2
27,Armenia,2015,Both sexes,74.51,66.0,23.0,7.0,5.84,0.67,27.9
30,Armenia,2010,Both sexes,73.12,64.84,25.9,6.0,5.69,0.7,30.0
33,Armenia,2000,Both sexes,71.88,63.5,27.8,3.3,4.23,0.92,34.3
36,Australia,2015,Both sexes,82.28,70.56,9.3,13.8,10.83,0.2,17.7
39,Australia,2010,Both sexes,81.9,70.17,10.0,12.5,12.39,0.22,20.4
42,Australia,2000,Both sexes,79.69,68.57,13.1,13.2,11.72,0.24,27.6
45,Austria,2015,Both sexes,80.98,70.39,11.5,16.0,12.07,0.24,31.5
48,Austria,2010,Both sexes,80.39,69.92,12.2,16.0,12.2,0.26,36.1
51,Austria,2000,Both sexes,78.17,68.18,15.3,20.0,13.12,0.26,48.1
54,Azerbaijan,2015,Both sexes,70.67,63.09,22.5,2.7,4.58,0.58,20.7
57,Azerbaijan,2010,Both sexes,69.03,61.71,24.8,3.1,2.97,0.79,22.8
60,Azerbaijan,2000,Both sexes,65.52,58.5,29.3,2.2,3.45,1.05,28.1
63,Bahamas,2015,Both sexes,72.92,64.17,15.6,1.8,4.55,0.14,11.0
66,Bahamas,2010,Both sexes,72.96,64.31,16.9,2.0,4.12,0.16,11.1
69,Bahamas,2000,Both sexes,70.94,62.69,20.1,2.0,5.58,0.26,11.8
72,Bahrain,2015,Both sexes,76.46,66.24,11.7,5.9,1.3,0.21,25.4
75,Bahrain,2010,Both sexes,74.52,65.04,13.8,5.2,1.69,0.22,26.0
78,Bahrain,2000,Both sexes,70.47,61.88,23.5,6.7,1.74,0.46,28.1
81,Bangladesh,2015,Both sexes,73.58,63.76,21.7,6.1,0.021,0.31,40.7
84,Bangladesh,2010,Both sexes,70.29,61.22,22.2,6.4,0.16,0.46,43.5
87,Bangladesh,2000,Both sexes,65.59,57.05,21.4,6.7,0.23,0.37,51.5
90,Barbados,2015,Both sexes,76.22,67.21,16.3,0.7,9.33,0.21,8.9
93,Barbados,2010,Both sexes,75.88,67.0,18.0,2.1,7.95,0.22,9.3
96,Barbados,2000,Both sexes,74.5,65.96,21.0,2.1,7.11,0.28,10.5
99,Belarus,2015,Both sexes,73.82,65.06,24.5,26.3,12.0,2.67,28.0
102,Belarus,2010,Both sexes,70.39,62.26,31.0,38.2,17.43,3.45,31.0
105,Belarus,2000,Both sexes,68.85,60.82,34.0,43.1,15.17,6.27,37.3
108,Belgium,2015,Both sexes,80.71,69.99,11.6,20.1,11.82,0.24,25.7
111,Belgium,2010,Both sexes,79.85,69.21,12.8,21.3,11.4,0.26,27.0
114,Belgium,2000,Both sexes,77.66,67.84,15.2,22.7,12.49,0.39,29.9
117,Benin,2015,Both sexes,61.96,54.29,19.7,9.9,2.97,3.58,8.3
120,Benin,2010,Both sexes,60.47,53.0,19.8,9.6,2.47,3.61,10.4
123,Benin,2000,Both sexes,56.59,49.59,20.0,9.5,2.46,3.57,17.1
126,Bosnia and Herzegovina,2015,Both sexes,76.32,66.97,18.2,8.9,6.92,0.53,39.6
129,Bosnia and Herzegovina,2010,Both sexes,76.19,66.98,20.9,8.0,7.32,0.7,41.4
132,Bosnia and Herzegovina,2000,Both sexes,75.42,66.17,24.4,10.7,6.37,1.21,46.3
135,Botswana,2015,Both sexes,60.93,52.78,20.7,9.7,6.86,1.18,24.6
138,Botswana,2010,Both sexes,58.14,50.56,22.2,11.1,8.62,1.41,26.4
141,Botswana,2000,Both sexes,45.59,40.08,23.1,11.8,9.05,1.59,32.1
144,Brazil,2015,Both sexes,75.13,64.7,17.0,6.5,7.86,0.2,18.5
147,Brazil,2010,Both sexes,74.09,63.95,19.0,5.7,8.49,0.21,22.3
150,Brazil,2000,Both sexes,71.47,61.66,24.4,4.8,8.78,0.31,32.8
153,Brunei Darussalam,2015,Both sexes,74.4,65.71,17.0,4.5,0.46,0.34,15.7
156,Brunei Darussalam,2010,Both sexes,74.57,65.76,17.4,3.7,0.51,0.31,16.1
159,Brunei Darussalam,2000,Both sexes,72.2,63.89,20.5,2.8,0.23,0.3,17.4
162,Bulgaria,2015,Both sexes,74.55,65.91,23.8,11.4,12.34,0.62,40.5
165,Bulgaria,2010,Both sexes,73.64,65.2,25.1,12.5,11.32,0.76,43.1
168,Bulgaria,2000,Both sexes,71.61,63.54,28.5,18.5,11.8,1.52,49.6
171,Burkina Faso,2015,Both sexes,60.92,53.35,21.9,7.7,11.83,3.03,17.4
174,Burkina Faso,2010,Both sexes,58.59,51.2,22.4,7.5,8.58,2.66,20.4
177,Burkina Faso,2000,Both sexes,51.64,44.88,22.6,8.2,8.4,2.8,29.9
180,Burundi,2015,Both sexes,62.05,53.96,22.8,8.9,7.03,5.3,13.6
183,Burundi,2010,Both sexes,58.6,50.88,22.8,9.0,7.66,5.19,15.5
186,Burundi,2000,Both sexes,43.78,38.13,23.5,7.1,9.82,4.35,20.6
